volcano,start,start_error,start_year,stop,stop_error,stop_year,duration,confirmed,vei
Kīlauea,2024-06-03,0,2024,2024-06-03,0,2024,0,TRUE,NA
Atka Volcanic Complex,2024-03-27,0,2024,2024-03-27,0,2024,0,TRUE,NA
Ahyi,2024-01-01,0,2024,2024-03-27,0,2024,86,TRUE,NA
Kanaga,2023-12-18,0,2023,2023-12-18,0,2023,0,TRUE,1
Ruby,2023-09-14,0,2023,2023-09-15,0,2023,1,TRUE,1
Shishaldin,2023-07-11,1,2023,2023-11-03,0,2023,115,TRUE,3
Mauna Loa,2022-11-27,0,2022,2022-12-10,0,2022,13,TRUE,0
Ahyi,2022-11-18,1,2022,2023-06-11,0,2023,205,TRUE,1
Kīlauea,2021-09-29,0,2021,2023-09-16,0,2023,717,TRUE,0
Pavlof,2021-08-05,0,2021,2022-12-07,0,2022,489,TRUE,2
Pagan,2021-07-29,0,2021,2021-09-06,0,2021,39,TRUE,2
Great Sitkin,2021-05-25,0,2021,2024-07-23,0,2024,1155,TRUE,2
Veniaminof,2021-02-28,0,2021,2021-04-05,0,2021,36,TRUE,1
Semisopochnoi,2021-02-02,2,2021,2023-05-05,0,2023,822,TRUE,2
Kīlauea,2020-12-20,0,2020,2021-05-23,0,2021,154,TRUE,0
Cleveland,2020-06-01,0,2020,2020-06-01,0,2020,0,TRUE,3
Semisopochnoi,2019-12-07,0,2019,2020-06-19,0,2020,195,TRUE,1
Cleveland,2019-11-07,0,2019,2019-12-07,0,2019,30,FALSE,NA
Shishaldin,2019-07-23,0,2019,2020-05-04,0,2020,286,TRUE,3
Semisopochnoi,2019-07-16,0,2019,2019-08-24,0,2019,39,TRUE,1
Great Sitkin,2019-06-01,0,2019,2019-06-07,0,2019,6,TRUE,1
Semisopochnoi,2018-09-08,0,2018,2018-10-31,0,2018,53,TRUE,1
Veniaminof,2018-09-04,0,2018,2018-12-23,0,2018,110,TRUE,1
Great Sitkin,2018-06-10,0,2018,2018-08-11,0,2018,62,TRUE,1
Bogoslof,2016-12-20,0,2016,2017-08-30,0,2017,253,TRUE,3
Cleveland,2016-04-16,0,2016,2019-01-16,0,2019,1005,TRUE,2
Pavlof,2016-03-27,0,2016,2016-07-30,0,2016,125,TRUE,3
Pavlof,2014-11-12,0,2014,2014-11-15,0,2014,3,TRUE,3
Pavlof,2014-05-31,0,2014,2014-06-06,0,2014,6,TRUE,3
Ahyi,2014-04-24,0,2014,2014-05-17,0,2014,23,TRUE,2
Shishaldin,2014-01-30,0,2014,2015-07-03,0,2015,519,TRUE,1
Veniaminof,2013-06-13,0,2013,2013-10-12,1,2013,121,TRUE,3
Pavlof,2013-05-13,0,2013,2013-06-26,0,2013,44,TRUE,3
Mariana Back-Arc Segment at 15.5°N,2013-02-13,0,2013,2015-12-01,0,2015,1021,TRUE,0
Pagan,2012-07-10,0,2012,2012-07-10,0,2012,0,TRUE,2
Kanaga,2012-02-18,0,2012,2012-02-18,0,2012,0,TRUE,2
Cleveland,2011-07-19,7,2011,2015-08-18,0,2015,1491,TRUE,2
Pagan,2011-04-23,0,2011,2011-09-01,0,2011,131,TRUE,2
Cleveland,2010-09-11,0,2010,2010-09-12,0,2010,1,FALSE,NA
Cleveland,2010-05-30,0,2010,2010-06-02,0,2010,3,TRUE,2
South Sarigan Seamount,2010-05-27,0,2010,2010-05-29,0,2010,2,TRUE,3
Pagan,2010-05-03,0,2010,2010-08-11,0,2010,100,TRUE,1
Cleveland,2009-10-02,0,2009,2009-12-12,0,2009,71,TRUE,2
Cleveland,2009-06-25,0,2009,2009-06-25,0,2009,0,TRUE,2
Pagan,2009-04-15,0,2009,NA,0,NA,NA,FALSE,NA
Redoubt,2009-03-15,0,2009,2009-07-01,30,2009,108,TRUE,3
Cleveland,2009-01-02,0,2009,2009-01-21,0,2009,19,TRUE,2
Kasatochi,2008-08-07,0,2008,2008-08-09,0,2008,2,TRUE,4
Okmok,2008-07-12,0,2008,2008-08-19,0,2008,38,TRUE,4
Veniaminof,2008-02-22,0,2008,2008-03-01,0,2008,8,TRUE,1
Shishaldin,2008-02-12,0,2008,2008-02-12,0,2008,0,FALSE,NA
Anatahan,2007-11-27,3,2007,2008-08-09,0,2008,256,TRUE,2
Pavlof,2007-08-15,0,2007,2007-09-13,0,2007,29,TRUE,2
Cleveland,2007-06-17,0,2007,2008-08-12,0,2008,422,TRUE,2
Pagan,2006-12-04,0,2006,2006-12-08,0,2006,4,TRUE,1
Atka Volcanic Complex,2006-11-25,5,2006,2007-03-03,0,2007,98,TRUE,1
Fourpeaked,2006-09-17,0,2006,2006-09-17,0,2006,0,TRUE,2
Anatahan,2006-03-20,0,2006,2006-06-26,0,2006,98,TRUE,2
Veniaminof,2006-03-03,0,2006,2006-09-07,0,2006,188,TRUE,1
Cleveland,2006-02-06,0,2006,2006-10-28,0,2006,264,TRUE,3
Augustine,2005-12-09,0,2005,2006-04-27,0,2006,139,TRUE,3
Veniaminof,2005-09-07,0,2005,2005-11-04,0,2005,58,TRUE,1
Cleveland,2005-03-13,0,2005,2005-11-27,1,2005,259,TRUE,2
Atka Volcanic Complex,2005-02-23,0,2005,2005-05-05,4,2005,71,TRUE,1
Veniaminof,2005-01-04,0,2005,2005-02-14,3,2005,41,TRUE,2
St. Helens,2004-10-01,0,2004,2008-01-27,10,2008,1213,TRUE,2
Atka Volcanic Complex,2004-07-04,0,2004,NA,0,NA,NA,TRUE,1
Anatahan,2004-04-12,0,2004,2005-09-03,0,2005,509,TRUE,3
Shishaldin,2004-02-17,0,2004,2004-07-16,15,2004,150,TRUE,2
Veniaminof,2004-02-16,0,2004,2004-09-05,4,2004,202,TRUE,2
NW Rota-1,2003-07-02,182,2003,2010-03-16,15,2010,2449,TRUE,0
Anatahan,2003-05-10,0,2003,2003-07-12,3,2003,63,TRUE,3
Vailulu'u,2003-04-16,730.5,2003,NA,0,NA,NA,TRUE,0
Veniaminof,2002-09-24,0,2002,2003-03-23,0,2003,180,TRUE,1
Wrangell,2002-08-01,0,2002,2002-08-02,0,2002,1,FALSE,NA
Atka Volcanic Complex,2002-07-16,15,2002,NA,0,NA,NA,TRUE,1
Pavlof,2001-06-05,4,2001,NA,0,NA,NA,FALSE,NA
Ahyi,2001-04-24,0,2001,2001-04-25,0,2001,1,TRUE,0
Cleveland,2001-02-02,0,2001,2001-04-15,0,2001,72,TRUE,3
Shishaldin,2000-08-11,0,2000,NA,0,NA,NA,FALSE,NA
Shishaldin,1999-09-25,5,1999,2000-02-04,0,2000,132,FALSE,NA
Wrangell,1999-05-14,0,1999,1999-05-14,0,1999,0,FALSE,NA
Shishaldin,1999-03-13,0,1999,1999-05-27,0,1999,75,TRUE,3
Shishaldin,1998-11-04,0,1998,1998-11-04,0,1998,0,TRUE,1
Chiginagak,1998-08-13,0,1998,1998-08-13,0,1998,0,TRUE,1
Atka Volcanic Complex,1998-05-08,1,1998,1998-07-08,0,1998,61,TRUE,3
Shishaldin,1997-06-02,0,1997,1997-06-02,0,1997,0,TRUE,1
Cleveland,1997-05-05,0,1997,1997-05-05,0,1997,0,TRUE,2
Amukta,1997-03-03,0,1997,NA,0,NA,NA,TRUE,1
Okmok,1997-02-11,0,1997,1997-05-19,4,1997,97,TRUE,3
Gareloi,1996-09-27,0,1996,NA,0,NA,NA,FALSE,NA
Amukta,1996-09-17,0,1996,1996-09-18,0,1996,1,TRUE,1
Pavlof,1996-09-11,0,1996,1997-01-03,0,1997,114,TRUE,2
Pagan,1996-07-02,182,1996,NA,0,NA,NA,TRUE,1
Kanaga,1996-06-11,0,1996,NA,0,NA,NA,FALSE,NA
North Gorda Ridge Segment,1996-02-28,0,1996,1996-03-15,0,1996,16,TRUE,0
Kama'ehuakanaloa,1996-02-25,30,1996,1996-08-09,0,1996,166,TRUE,0
Shishaldin,1995-12-23,0,1995,1996-05-16,0,1996,145,TRUE,3
Veniaminof,1995-11-15,0,1995,1995-11-30,0,1995,15,TRUE,1
Ruby,1995-10-11,0,1995,1995-10-25,0,1995,14,TRUE,1
Kanaga,1995-06-19,0,1995,1995-06-23,0,1995,4,TRUE,2
Atka Volcanic Complex,1995-05-01,0,1995,NA,0,NA,NA,FALSE,NA
Veniaminof,1995-04-17,0,1995,1995-04-17,0,1995,0,TRUE,1
Makushin,1995-01-30,0,1995,1995-01-30,0,1995,0,TRUE,1
Vailulu'u,1995-01-09,0,1995,1995-01-29,0,1995,20,TRUE,0
Cleveland,1994-10-20,0,1994,1994-10-20,0,1994,0,TRUE,1
Cleveland,1994-05-25,0,1994,1994-05-25,0,1994,0,TRUE,3
Ahyi,1994-04-23,0,1994,NA,0,NA,NA,TRUE,0
Kanaga,1994-01-05,4,1994,1994-11-26,4,1994,325,TRUE,2
Shishaldin,1993-09-04,0,1993,1993-10-29,0,1993,55,TRUE,2
Makushin,1993-08-16,15,1993,1994-01-19,0,1994,156,TRUE,1
Veniaminof,1993-07-30,0,1993,1994-09-28,0,1994,425,TRUE,2
Seguam,1993-05-28,0,1993,1993-08-31,0,1993,95,TRUE,2
Pagan,1993-01-15,5,1993,1993-11-16,15,1993,305,TRUE,2
Seguam,1992-12-27,0,1992,1992-12-30,0,1992,3,TRUE,2
Akutan,1992-12-18,0,1992,NA,0,NA,NA,TRUE,1
Bogoslof,1992-07-06,0,1992,1992-07-24,0,1992,18,TRUE,3
Spurr,1992-06-27,0,1992,1992-09-17,0,1992,82,TRUE,4
Pagan,1992-04-13,0,1992,1992-04-13,0,1992,0,TRUE,1
Akutan,1992-03-08,0,1992,1992-05-21,0,1992,74,TRUE,2
Westdahl,1991-11-29,0,1991,1992-01-14,0,1992,46,TRUE,3
Akutan,1991-09-15,0,1991,1991-10-29,1,1991,44,TRUE,2
St. Helens,1990-11-05,0,1990,1991-02-14,0,1991,101,TRUE,3
Akutan,1990-09-06,0,1990,1990-10-01,0,1990,25,TRUE,2
Kiska,1990-06-01,0,1990,1990-06-01,0,1990,0,TRUE,2
Pavlof,1990-03-05,0,1990,1990-03-05,0,1990,0,TRUE,2
Akutan,1990-01-26,5,1990,1990-01-26,5,1990,0,TRUE,2
Redoubt,1989-12-14,0,1989,1990-06-20,0,1990,188,TRUE,3
St. Helens,1989-12-07,0,1989,1990-01-06,0,1990,30,TRUE,2
Cleveland,1989-10-25,3,1989,NA,0,NA,NA,FALSE,NA
Ahyi,1989-09-21,0,1989,1989-12-27,0,1989,97,TRUE,0
Gareloi,1989-08-17,0,1989,NA,0,NA,NA,TRUE,1
Akutan,1989-02-27,0,1989,1989-03-28,0,1989,29,TRUE,2
Pagan,1988-08-24,0,1988,1988-10-12,0,1988,49,TRUE,2
Akutan,1988-03-26,0,1988,1988-07-20,0,1988,116,TRUE,2
Pagan,1988-02-16,0,1988,NA,0,NA,NA,FALSE,NA
Carlisle,1987-11-16,0,1987,NA,0,NA,NA,FALSE,NA
Pagan,1987-09-04,0,1987,1987-09-04,0,1987,0,TRUE,1
Amukta,1987-09-04,0,1987,NA,0,NA,NA,TRUE,1
Gareloi,1987-09-04,0,1987,NA,0,NA,NA,TRUE,1
Cleveland,1987-06-19,0,1987,1987-08-28,0,1987,70,TRUE,3
Esmeralda Bank,1987-05-26,0,1987,NA,0,NA,NA,FALSE,NA
Kiska,1987-04-15,0,1987,NA,0,NA,NA,FALSE,NA
Semisopochnoi,1987-04-13,0,1987,NA,0,NA,NA,TRUE,2
Veniaminof,1987-03-19,0,1987,1987-03-19,0,1987,0,TRUE,1
Great Sitkin,1987-03-18,0,1987,NA,0,NA,NA,FALSE,NA
Kupreanof,1987-03-10,0,1987,1987-03-10,0,1987,0,FALSE,NA
Atka Volcanic Complex,1987-03-04,0,1987,1987-03-19,0,1987,15,TRUE,2
Makushin,1987-03-02,0,1987,1987-03-02,0,1987,0,TRUE,1
Akutan,1987-01-31,0,1987,1987-06-24,0,1987,144,TRUE,2
Okmok,1986-11-18,0,1986,1988-02-26,0,1988,465,TRUE,2
Kama'ehuakanaloa,1986-09-20,0,1986,1986-09-20,0,1986,0,FALSE,NA
Atka Volcanic Complex,1986-05-23,0,1986,NA,0,NA,NA,FALSE,NA
Cleveland,1986-04-28,0,1986,1986-05-27,0,1986,29,TRUE,2
Pavlof,1986-04-16,0,1986,1988-08-13,0,1988,850,TRUE,3
Augustine,1986-03-27,0,1986,1986-08-31,0,1986,157,TRUE,4
Shishaldin,1986-03-19,0,1986,1987-02-15,0,1987,333,TRUE,2
Akutan,1986-03-18,0,1986,1986-06-30,0,1986,104,TRUE,2
Cleveland,1985-12-10,0,1985,NA,0,NA,NA,FALSE,NA
Ahyi,1985-08-02,0,1985,1985-09-05,0,1985,34,TRUE,0
Veniaminof,1984-11-29,0,1984,1984-12-06,0,1984,7,TRUE,2
Kama'ehuakanaloa,1984-11-11,0,1984,1985-01-21,0,1985,71,FALSE,NA
Cleveland,1984-07-12,0,1984,1984-07-12,0,1984,0,TRUE,1
Mauna Loa,1984-03-25,0,1984,1984-04-15,0,1984,21,TRUE,0
Pavlof,1983-11-11,0,1983,1983-12-18,0,1983,37,TRUE,3
Pavlof,1983-07-11,0,1983,1983-07-18,0,1983,7,TRUE,2
Okmok,1983-07-08,0,1983,1983-07-08,0,1983,0,TRUE,2
Veniaminof,1983-06-02,0,1983,1984-04-17,0,1984,320,TRUE,3
Kīlauea,1983-01-03,0,1983,2018-09-05,0,2018,13029,TRUE,3
Fukujin,1982-12-15,0,1982,NA,0,NA,NA,FALSE,NA
Akutan,1982-10-05,4,1982,1983-05-16,15,1983,223,TRUE,2
Kīlauea,1982-09-25,0,1982,1982-09-26,0,1982,1,TRUE,0
Pavlof,1982-07-15,45,1982,NA,0,NA,NA,FALSE,NA
Kīlauea,1982-04-30,0,1982,1982-05-01,0,1982,1,TRUE,0
Esmeralda Bank,1982-04-06,0,1982,NA,0,NA,NA,FALSE,NA
Gareloi,1982-01-15,0,1982,1982-01-15,0,1982,0,TRUE,3
Fukujin,1982-01-12,0,1982,1982-03-16,0,1982,63,FALSE,NA
Pavlof,1981-09-25,0,1981,1981-09-27,0,1981,2,TRUE,3
Shishaldin,1981-09-25,0,1981,NA,0,NA,NA,FALSE,NA
Pagan,1981-05-15,0,1981,1985-05-01,0,1985,1447,TRUE,4
Pavlof,1981-03-30,0,1981,1981-05-28,0,1981,59,TRUE,1
Okmok,1981-03-24,0,1981,1981-03-24,0,1981,0,TRUE,3
Fukujin,1981-01-07,0,1981,1981-01-08,0,1981,1,FALSE,NA
Pavlof,1980-11-08,0,1980,1980-11-13,0,1980,5,TRUE,3
Gareloi,1980-08-07,0,1980,1980-09-17,0,1980,41,TRUE,3
Pavlof,1980-07-06,1,1980,NA,0,NA,NA,TRUE,1
Akutan,1980-07-03,0,1980,1980-07-08,0,1980,5,TRUE,2
Makushin,1980-05-01,75,1980,NA,0,NA,NA,TRUE,1
St. Helens,1980-03-27,0,1980,1986-10-28,3,1986,2406,TRUE,5
Kīlauea,1980-03-11,0,1980,1980-03-11,0,1980,0,TRUE,0
Kīlauea,1979-11-16,0,1979,1979-11-17,0,1979,1,TRUE,0
Ahyi,1979-11-15,0,1979,1979-11-15,0,1979,0,FALSE,NA
Fukujin,1979-04-26,0,1979,1980-05-12,0,1980,382,FALSE,NA
Shishaldin,1979-02-16,15,1979,NA,0,NA,NA,TRUE,2
Westdahl,1979-02-08,0,1979,1979-02-09,0,1979,1,FALSE,NA
Akutan,1978-09-25,5,1978,1978-10-16,15,1978,21,TRUE,2
Fukujin,1978-08-24,0,1978,1978-08-25,0,1978,1,FALSE,NA
Shishaldin,1978-02-08,0,1978,1978-02-09,0,1978,1,TRUE,2
Westdahl,1978-02-04,0,1978,1978-02-09,0,1978,5,TRUE,3
Fukujin,1977-10-14,0,1977,1978-03-24,0,1978,161,FALSE,NA
Kīlauea,1977-09-13,0,1977,1977-10-01,0,1977,18,TRUE,0
Ukinrek Maars,1977-03-30,0,1977,1977-04-09,0,1977,10,TRUE,3
Seguam,1977-03-06,0,1977,1977-03-08,0,1977,2,TRUE,1
Akutan,1976-10-15,45,1976,1977-05-09,0,1977,206,TRUE,2
Fukujin,1976-08-02,0,1976,1977-04-21,0,1977,262,FALSE,NA
Atka Volcanic Complex,1976-07-02,182,1976,NA,0,NA,NA,FALSE,NA
Augustine,1976-01-22,0,1976,1977-05-14,0,1977,478,TRUE,4
Shishaldin,1976-01-16,15,1976,1976-09-28,0,1976,256,TRUE,2
Kīlauea,1975-11-29,0,1975,1975-11-29,0,1975,0,TRUE,0
Kasuga 1,1975-11-16,15,1975,NA,0,NA,NA,FALSE,NA
Cleveland,1975-09-16,15,1975,NA,0,NA,NA,FALSE,NA
Shishaldin,1975-09-13,0,1975,1975-10-26,5,1975,43,TRUE,2
Pavlof,1975-09-13,0,1975,1977-03-16,15,1977,550,TRUE,2
Kama'ehuakanaloa,1975-08-24,0,1975,1975-11-16,15,1975,84,FALSE,NA
Mauna Loa,1975-07-05,0,1975,1975-07-06,0,1975,1,TRUE,0
Esmeralda Bank,1975-04-26,0,1975,1975-04-29,0,1975,3,FALSE,NA
Kīlauea,1974-12-31,0,1974,1974-12-31,0,1974,0,TRUE,0
Pavlof,1974-09-01,0,1974,1975-01-13,0,1975,134,TRUE,3
Trident,1974-07-15,45,1974,NA,0,NA,NA,TRUE,3
Pavlof,1974-03-12,0,1974,1974-03-24,0,1974,12,TRUE,1
Great Sitkin,1974-02-19,0,1974,1974-09-16,15,1974,209,TRUE,2
Akutan,1974-02-11,0,1974,NA,0,NA,NA,TRUE,2
Pavlof,1973-11-12,0,1973,1973-11-13,0,1973,1,TRUE,2
Fukujin,1973-09-27,0,1973,1974-03-05,0,1974,159,TRUE,1
Atka Volcanic Complex,1973-08-25,2,1973,NA,0,NA,NA,TRUE,0
Vailulu'u,1973-07-10,0,1973,1973-07-10,0,1973,0,TRUE,0
Akutan,1973-03-16,15,1973,1973-05-16,15,1973,61,TRUE,2
Akutan,1972-09-16,15,1972,NA,0,NA,NA,FALSE,NA
Augustine,1971-10-07,0,1971,1971-10-08,0,1971,1,TRUE,1
Kama'ehuakanaloa,1971-09-17,0,1971,1972-09-16,15,1972,365,FALSE,NA
Chiginagak,1971-07-16,15,1971,1971-07-16,15,1971,0,TRUE,2
Esmeralda Bank,1970-07-02,365.25,1970,NA,0,NA,NA,FALSE,NA
Kiska,1969-09-11,0,1969,1969-09-16,0,1969,5,TRUE,2
Wrangell,1969-08-16,15,1969,NA,0,NA,NA,FALSE,NA
Ahyi,1969-03-11,0,1969,1969-03-13,0,1969,2,TRUE,0
Kīlauea,1969-02-22,0,1969,1974-09-19,0,1974,2035,TRUE,0
Trident,1968-11-13,0,1968,1968-11-13,0,1968,0,TRUE,3
Fukujin,1968-09-16,15,1968,NA,0,NA,NA,TRUE,0
Redoubt,1967-12-06,0,1967,1968-04-28,0,1968,144,TRUE,3
Kīlauea,1967-11-05,0,1967,1968-10-22,0,1968,352,TRUE,0
Trident,1967-09-05,0,1967,1968-02-25,0,1968,173,TRUE,3
Ahyi,1967-03-27,0,1967,1967-04-10,0,1967,14,TRUE,0
Shishaldin,1967-01-28,0,1967,NA,0,NA,NA,TRUE,2
Redoubt,1966-10-07,0,1966,1967-01-15,0,1967,100,TRUE,3
Trident,1966-07-02,182,1966,NA,0,NA,NA,TRUE,0
Ruby,1966-04-21,7,1966,1966-05-16,15,1966,25,TRUE,1
Pavlof,1966-03-15,0,1966,NA,0,NA,NA,TRUE,2
Redoubt,1966-01-24,0,1966,1966-02-20,0,1966,27,TRUE,3
Kīlauea,1965-12-24,0,1965,1965-12-25,0,1965,1,TRUE,0
Kīlauea,1965-03-05,0,1965,1965-03-15,0,1965,10,TRUE,0
Trident,1964-05-31,0,1964,NA,0,NA,NA,TRUE,3
Esmeralda Bank,1964-04-14,0,1964,NA,0,NA,NA,FALSE,NA
Kiska,1964-03-18,0,1964,NA,0,NA,NA,TRUE,0
Westdahl,1964-03-10,0,1964,1964-04-16,0,1964,37,TRUE,2
Shishaldin,1963-12-28,0,1963,NA,0,NA,NA,TRUE,2
Trident,1963-10-17,0,1963,1963-11-17,0,1963,31,TRUE,3
Augustine,1963-10-11,0,1963,1964-08-19,0,1964,313,TRUE,2
Kīlauea,1963-08-21,0,1963,1963-10-06,0,1963,46,TRUE,0
Trident,1963-04-01,0,1963,1963-04-03,0,1963,2,TRUE,3
Amukta,1963-02-13,0,1963,NA,0,NA,NA,TRUE,3
Kīlauea,1962-12-07,0,1962,1962-12-09,0,1962,2,TRUE,0
Akutan,1962-11-05,4,1962,NA,0,NA,NA,TRUE,2
Trident,1962-06-09,0,1962,1962-06-09,0,1962,0,TRUE,3
Kiska,1962-01-24,0,1962,NA,0,NA,NA,TRUE,3
Kīlauea,1961-07-10,0,1961,1961-09-24,0,1961,76,TRUE,1
Trident,1961-06-30,0,1961,NA,0,NA,NA,TRUE,2
Kīlauea,1961-02-24,0,1961,1961-03-25,0,1961,29,TRUE,1
Okmok,1960-10-15,45,1960,1961-04-15,45,1961,182,TRUE,3
Pavlof,1960-07-02,182,1960,1963-06-16,15,1963,1079,TRUE,2
Kīlauea,1959-11-14,0,1959,1960-02-19,0,1960,97,TRUE,2
