volcano,start,start_error,start_year,stop,stop_error,stop_year,duration,confirmed,vei
Fukujin,1959-08-16,15,1959,1959-10-16,15,1959,61,FALSE,NA
Kasuga 1,1959-07-15,45,1959,NA,0,NA,NA,TRUE,0
Fukujin,1958-08-16,15,1958,1958-09-16,15,1958,31,FALSE,NA
Okmok,1958-08-14,0,1958,1958-08-25,10,1958,11,TRUE,3
Pavlof,1958-05-17,0,1958,1958-08-28,0,1958,103,TRUE,2
Trident,1957-07-02,182,1957,1960-08-10,0,1960,1135,TRUE,2
Vsevidof,1957-03-11,0,1957,1957-03-12,0,1957,1,FALSE,NA
Trident,1956-09-08,0,1956,1956-09-09,0,1956,1,TRUE,2
Kaena,1956-05-22,0,1956,1956-05-23,0,1956,1,FALSE,NA
Veniaminof,1956-03-16,15,1956,1956-05-23,0,1956,68,TRUE,3
Shishaldin,1955-07-16,15,1955,NA,0,NA,NA,TRUE,2
Kīlauea,1955-02-28,0,1955,1955-05-26,0,1955,87,TRUE,0
Kīlauea,1954-05-31,0,1954,1954-06-03,0,1954,3,TRUE,0
Pavlof,1953-11-25,0,1953,1954-08-16,15,1954,264,TRUE,1
Shishaldin,1953-10-04,3,1953,NA,0,NA,NA,TRUE,2
Spurr,1953-07-09,0,1953,1953-07-16,0,1953,7,TRUE,4
Atka Volcanic Complex,1953-07-02,182,1953,1954-07-02,182,1954,365,FALSE,NA
Akutan,1953-07-02,182,1953,NA,0,NA,NA,TRUE,2
Cleveland,1953-06-25,0,1953,NA,0,NA,NA,FALSE,NA
Iliamna,1953-03-01,0,1953,NA,0,NA,NA,FALSE,NA
Martin,1953-02-17,0,1953,NA,0,NA,NA,TRUE,NA
Trident,1953-02-15,0,1953,1954-10-05,0,1954,597,TRUE,3
Farallon de Pájaros,1952-10-26,5,1952,1953-04-15,0,1953,171,TRUE,2
Fukujin,1952-07-02,182,1952,NA,0,NA,NA,FALSE,NA
Iliamna,1952-07-02,182,1952,NA,0,NA,NA,FALSE,NA
Makushin,1952-07-02,182,1952,NA,0,NA,NA,FALSE,NA
Kīlauea,1952-06-27,0,1952,1952-11-10,0,1952,136,TRUE,0
Gareloi,1952-01-17,0,1952,NA,0,NA,NA,TRUE,2
Makushin,1951-12-20,0,1951,NA,0,NA,NA,TRUE,1
Cleveland,1951-11-01,0,1951,1951-12-16,15,1951,45,FALSE,NA
Akutan,1951-10-16,15,1951,NA,0,NA,NA,TRUE,2
Pavlof,1951-10-16,15,1951,1952-02-16,15,1952,123,TRUE,2
Bogoslof,1951-09-21,0,1951,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1951-08-16,15,1951,NA,0,NA,NA,TRUE,2
Martin,1951-07-22,0,1951,NA,0,NA,NA,TRUE,NA
Fukujin,1951-07-15,45,1951,1951-10-15,45,1951,92,TRUE,0
Atka Volcanic Complex,1951-07-02,182,1951,NA,0,NA,NA,FALSE,NA
Shishaldin,1951-04-16,15,1951,1951-10-05,4,1951,172,TRUE,2
Great Sitkin,1950-11-05,0,1950,1950-11-29,0,1950,24,TRUE,NA
Pavlof,1950-07-31,0,1950,1951-05-16,15,1951,289,TRUE,2
Trident,1950-07-02,0,1950,1950-08-18,0,1950,47,TRUE,2
Gareloi,1950-07-02,182,1950,1951-07-02,182,1951,365,TRUE,1
Mauna Loa,1950-06-01,0,1950,1950-06-23,0,1950,22,TRUE,0
Great Sitkin,1949-12-30,0,1949,1950-01-07,0,1950,8,TRUE,1
Trident,1949-06-15,15,1949,NA,0,NA,NA,TRUE,NA
Mauna Loa,1949-01-06,0,1949,1949-05-31,0,1949,145,TRUE,0
Akutan,1948-04-29,0,1948,1948-08-07,0,1948,100,TRUE,2
Shishaldin,NA,0,1948,NA,0,NA,NA,TRUE,2
Iliamna,1947-06-15,15,1947,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1947-01-15,16,1947,NA,0,NA,NA,FALSE,NA
Akutan,1946-12-15,16,1946,1947-01-15,16,1947,31,TRUE,2
Great Sitkin,1946-08-14,0,1946,NA,0,NA,NA,FALSE,NA
Shishaldin,1946-08-15,16,1946,1947-01-15,16,1947,153,TRUE,2
Mageik,NA,0,1946,NA,0,NA,NA,FALSE,NA
Okmok,1945-06-04,0,1945,1945-12-15,16,1945,194,TRUE,2
Great Sitkin,1945-03-15,16,1945,NA,0,NA,NA,TRUE,2
Esmeralda Bank,1944-08-20,10,1944,NA,0,NA,NA,FALSE,NA
Cleveland,1944-06-10,0,1944,1944-06-12,0,1944,2,TRUE,3
Veniaminof,1944-03-28,0,1944,NA,0,NA,NA,TRUE,2
Okmok,1943-06-15,15,1943,NA,0,NA,NA,TRUE,1
Farallon de Pájaros,NA,0,1943,NA,0,NA,NA,TRUE,2
St. Paul Island,NA,0,1943,NA,0,NA,NA,FALSE,NA
Mauna Loa,1942-04-26,0,1942,1942-05-10,0,1942,14,TRUE,0
Kanaga,NA,0,1942,NA,0,NA,NA,TRUE,1
Aniakchak,NA,0,1942,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1941-03-28,0,1941,NA,0,NA,NA,TRUE,1
Mauna Loa,1940-04-07,0,1940,1940-08-18,0,1940,133,TRUE,0
Veniaminof,1939-11-15,15,1939,NA,0,NA,NA,TRUE,2
Veniaminof,1939-05-23,0,1939,1939-06-26,0,1939,34,TRUE,3
Farallon de Pájaros,NA,0,1939,NA,0,NA,NA,TRUE,1
Makushin,1938-10-15,16,1938,NA,0,NA,NA,TRUE,2
Okmok,NA,0,1938,NA,0,NA,NA,TRUE,NA
Cleveland,NA,0,1938,NA,0,NA,NA,TRUE,NA
Yunaska,1937-11-03,0,1937,1937-11-04,0,1937,1,TRUE,3
Mageik,1936-07-04,0,1936,1936-07-05,0,1936,1,FALSE,NA
Farallon de Pájaros,1936-04-15,45,1936,NA,0,NA,NA,TRUE,1
Pavlof,NA,0,1936,1948-05-15,16,1948,NA,TRUE,3
Okmok,NA,0,1936,NA,0,NA,NA,FALSE,NA
Mauna Loa,1935-11-21,0,1935,1936-01-02,0,1936,42,TRUE,0
Augustine,1935-03-13,0,1935,1935-08-18,0,1935,158,TRUE,3
Kīlauea,1934-09-06,0,1934,1934-10-08,0,1934,32,TRUE,0
Ahyi,1934-07-15,45,1934,NA,0,NA,NA,TRUE,1
Farallon de Pájaros,NA,0,1934,NA,0,NA,NA,FALSE,NA
Mauna Loa,1933-12-02,0,1933,1933-12-18,0,1933,16,TRUE,0
Great Sitkin,1933-11-15,15,1933,NA,0,NA,NA,TRUE,2
Redoubt,1933-05-25,0,1933,NA,0,NA,NA,FALSE,NA
Iliamna,1933-05-05,0,1933,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1932-09-07,0,1932,1932-10-07,0,1932,30,TRUE,2
Shishaldin,1932-02-01,0,1932,1932-05-21,0,1932,110,TRUE,2
Cleveland,1932-01-01,0,1932,NA,0,NA,NA,TRUE,NA
Kīlauea,1931-12-23,0,1931,1932-01-05,0,1932,13,TRUE,0
Bogoslof,1931-10-31,0,1931,NA,0,NA,NA,TRUE,1
Aniakchak,1931-05-01,0,1931,1931-06-13,0,1931,43,TRUE,4
Akutan,1931-05-15,16,1931,1931-08-15,16,1931,92,TRUE,2
Okmok,1931-03-21,0,1931,1931-05-13,0,1931,53,TRUE,2
Kīlauea,1930-11-19,0,1930,1930-12-07,0,1930,18,TRUE,0
Wrangell,1930-06-30,0,1930,NA,0,NA,NA,FALSE,NA
Veniaminof,1930-06-15,15,1930,NA,0,NA,NA,TRUE,2
Chiginagak,1929-12-15,16,1929,NA,0,NA,NA,FALSE,NA
Kagamil,1929-12-15,16,1929,NA,0,NA,NA,TRUE,NA
Mageik,1929-08-19,0,1929,1929-12-15,16,1929,118,FALSE,NA
Kīlauea,1929-07-25,0,1929,1929-07-28,0,1929,3,TRUE,0
Shishaldin,1929-05-28,0,1929,1929-06-23,0,1929,26,TRUE,2
Akutan,1929-05-15,16,1929,NA,0,NA,NA,TRUE,2
Gareloi,1929-04-15,15,1929,NA,0,1930,NA,TRUE,3
Cleveland,1929-03-15,16,1929,NA,0,NA,NA,FALSE,NA
Pavlof,1929-03-15,16,1929,1931-08-15,16,1931,883,TRUE,2
Kīlauea,1929-02-20,0,1929,1929-02-21,0,1929,1,TRUE,0
Pagan,NA,0,1929,NA,0,1930,NA,FALSE,NA
Yunaska,NA,0,1929,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1928-12-15,5,1928,NA,0,NA,NA,TRUE,2
Shishaldin,1928-08-15,16,1928,NA,0,NA,NA,TRUE,2
Mageik,1927-08-26,5,1927,NA,0,NA,NA,FALSE,NA
Kīlauea,1927-07-07,0,1927,1927-07-20,0,1927,13,TRUE,0
Shishaldin,NA,0,1927,NA,0,NA,NA,TRUE,NA
Seguam,NA,0,1927,NA,0,NA,NA,FALSE,NA
Akutan,NA,0,1927,NA,0,1928,NA,TRUE,2
Gareloi,NA,0,1927,NA,0,NA,NA,FALSE,NA
Kiska,NA,0,1927,NA,0,NA,NA,FALSE,NA
Makushin,1926-12-30,0,1926,NA,0,NA,NA,TRUE,2
Bogoslof,1926-07-15,16,1926,NA,0,1928,NA,TRUE,2
Mauna Loa,1926-04-10,0,1926,1926-04-28,0,1926,18,TRUE,0
Pagan,1925-02-14,14,1925,1925-05-05,0,1925,80,TRUE,2
Farallon de Pájaros,NA,0,1925,NA,0,NA,NA,TRUE,2
Shishaldin,NA,0,1925,NA,0,NA,NA,TRUE,NA
Kīlauea,1924-05-10,0,1924,1924-07-29,0,1924,80,TRUE,2
Pavlof,1924-01-17,0,1924,NA,0,NA,NA,TRUE,2
Asunción,NA,0,1924,NA,0,NA,NA,FALSE,NA
Pagan,1923-02-14,14,1923,1923-03-26,5,1923,40,TRUE,3
Pavlof,1922-12-24,0,1922,1923-02-28,60,1923,66,TRUE,2
Shishaldin,1922-10-15,45,1922,NA,0,NA,NA,TRUE,2
Gareloi,NA,0,1922,NA,0,NA,NA,TRUE,3
Wrangell,1921-07-03,0,1921,1921-07-03,0,1921,0,FALSE,NA
St. Helens,1921-03-18,0,1921,NA,0,NA,NA,FALSE,NA
Mauna Loa,1919-09-26,0,1919,1919-11-05,0,1919,40,TRUE,0
Pavlof,1917-10-15,16,1917,NA,0,NA,NA,TRUE,2
Agrigan,1917-04-09,0,1917,NA,0,NA,NA,TRUE,4
Pagan,NA,0,1917,NA,0,NA,NA,TRUE,2
Mauna Loa,1916-05-19,0,1916,1916-05-30,0,1916,11,TRUE,0
Mauna Loa,1914-11-25,0,1914,1915-01-11,0,1915,47,TRUE,0
Pavlof,1914-07-06,0,1914,NA,0,NA,NA,TRUE,2
Lassen Volcanic Center,1914-05-30,0,1914,1917-06-29,0,1917,1126,TRUE,3
Tanaga,NA,0,1914,NA,0,NA,NA,TRUE,0
Trident,1913-09-15,15,1913,NA,0,NA,NA,TRUE,1
Bogoslof,1913-07-15,16,1913,NA,0,NA,NA,FALSE,NA
Katmai,1912-06-06,0,1912,1912-07-21,0,1912,45,TRUE,3
Novarupta,1912-06-06,0,1912,1912-10-15,16,1912,131,TRUE,6
Farallon de Pájaros,NA,0,1912,NA,0,NA,NA,TRUE,2
Shishaldin,NA,0,1912,NA,0,NA,NA,FALSE,NA
Makushin,NA,0,1912,NA,0,NA,NA,FALSE,NA
Akutan,NA,0,1912,NA,0,NA,NA,FALSE,NA
Wrangell,1911-04-14,0,1911,1912-09-14,0,1912,519,TRUE,1
Akutan,NA,0,1911,NA,0,NA,NA,TRUE,2
Medicine Lake,1910-01-15,16,1910,NA,0,NA,NA,FALSE,NA
Bogoslof,1909-09-15,15,1909,1910-09-19,0,1910,369,TRUE,2
Pagan,NA,0,1909,NA,0,NA,NA,TRUE,2
Akutan,1908-02-22,0,1908,NA,0,NA,NA,TRUE,0
Bogoslof,1908-01-15,45,1908,NA,0,NA,NA,FALSE,NA
Augustine,NA,0,1908,NA,0,NA,NA,TRUE,1
Wrangell,1907-04-01,0,1907,NA,0,NA,NA,FALSE,NA
Mauna Loa,1907-01-09,0,1907,1907-01-24,0,1907,15,TRUE,0
Kiska,NA,0,1907,NA,0,NA,NA,FALSE,NA
Akutan,NA,0,1907,NA,0,NA,NA,TRUE,NA
Makushin,NA,0,1907,NA,0,NA,NA,TRUE,NA
Atka Volcanic Complex,NA,0,1907,NA,0,NA,NA,TRUE,NA
Kīlauea,1906-12-02,0,1906,1924-02-14,15,1924,6283,TRUE,0
Kanaga,1906-05-15,16,1906,NA,0,NA,NA,TRUE,NA
Bogoslof,1906-03-01,30,1906,1907-09-01,0,1907,549,TRUE,3
Pavlof,NA,0,1906,1911-12-07,0,1911,NA,TRUE,3
Asunción,NA,0,1906,NA,0,NA,NA,TRUE,2
Kīlauea,1905-02-22,0,1905,1906-04-15,15,1906,417,TRUE,0
Kanaga,NA,0,1904,NA,0,NA,NA,TRUE,0
Great Sitkin,NA,0,1904,NA,0,NA,NA,FALSE,NA
Kīlauea,1903-11-25,0,1903,1904-01-10,0,1904,46,TRUE,0
St. Helens,1903-09-15,0,1903,NA,0,NA,NA,FALSE,NA
Mauna Loa,1903-09-01,0,1903,1903-12-07,0,1903,97,TRUE,0
Wrangell,1902-07-15,45,1902,NA,0,NA,NA,TRUE,2
Kīlauea,1902-06-03,0,1902,1903-03-05,5,1903,275,TRUE,0
Kīlauea,1902-02-14,0,1902,1902-02-14,14,1902,0,TRUE,0
Redoubt,1902-01-18,0,1902,NA,0,NA,NA,TRUE,3
Seguam,NA,0,1902,NA,0,NA,NA,TRUE,3
Farallon de Pájaros,1901-01-15,16,1901,1902-12-15,16,1902,699,TRUE,2
Pavlof,NA,0,1901,NA,0,NA,NA,TRUE,2
Shishaldin,NA,0,1901,NA,0,NA,NA,TRUE,NA
Wrangell,1900-06-15,15,1900,NA,0,NA,NA,TRUE,2
Wrangell,1899-09-03,0,1899,NA,0,NA,NA,TRUE,2
Mauna Loa,1899-07-01,0,1899,1899-07-23,0,1899,22,TRUE,1
Shishaldin,NA,0,1899,NA,0,NA,NA,FALSE,NA
Kasatochi,NA,0,1899,NA,0,NA,NA,FALSE,NA
Okmok,NA,0,1899,NA,0,NA,NA,TRUE,3
St. Helens,1898-04-05,0,1898,NA,0,NA,NA,FALSE,NA
Shishaldin,NA,0,1898,NA,0,NA,NA,TRUE,2
Kīlauea,1897-06-24,0,1897,1897-06-27,0,1897,3,TRUE,0
Shishaldin,NA,0,1897,NA,0,NA,NA,FALSE,NA
Cleveland,NA,0,1897,NA,0,NA,NA,TRUE,NA
Kīlauea,1896-07-11,0,1896,1896-09-25,5,1896,76,TRUE,0
Mauna Loa,1896-04-21,0,1896,1896-05-06,0,1896,15,TRUE,0
Kīlauea,1896-01-03,0,1896,1896-01-28,0,1896,25,TRUE,0
Akutan,NA,0,1896,NA,0,NA,NA,TRUE,NA
Akutan,1895-08-01,0,1895,1895-08-14,0,1895,13,TRUE,2
Rainier,1894-11-21,0,1894,1894-12-24,0,1894,33,FALSE,NA
Pavlof,NA,0,1894,NA,0,NA,NA,TRUE,2
Cleveland,NA,0,1893,NA,0,NA,NA,TRUE,NA
Mauna Loa,1892-11-30,0,1892,1892-12-03,0,1892,3,TRUE,0
Akutan,1892-09-23,0,1892,NA,0,NA,NA,TRUE,1
Veniaminof,1892-08-28,0,1892,1892-08-30,0,1892,2,TRUE,3
Seguam,1892-04-15,45,1892,NA,0,NA,NA,TRUE,3
Pavlof,NA,0,1892,NA,0,NA,NA,TRUE,2
Seguam,1891-12-15,16,1891,NA,0,NA,NA,TRUE,2
Mono Lake Volcanic Field,1890-08-23,0,1890,1890-08-23,0,1890,0,FALSE,NA
Alamagan,1887-11-29,0,1887,NA,0,NA,NA,FALSE,NA
Mauna Loa,1887-01-16,0,1887,1887-01-28,0,1887,12,TRUE,0
Akutan,NA,0,1887,NA,0,NA,NA,TRUE,0
Pavlof,NA,0,1886,NA,0,NA,NA,TRUE,2
Wrangell,1884-10-26,0,1884,1885-02-04,0,1885,101,FALSE,NA
Baker,NA,0,1884,NA,0,NA,NA,FALSE,NA
Augustine,1883-10-06,0,1883,NA,0,1884,NA,TRUE,4
Bogoslof,1883-09-27,0,1883,NA,730.5,1895,NA,TRUE,3
Guguan,NA,365.25,1883,NA,0,NA,NA,TRUE,2
Makushin,NA,0,1883,NA,0,NA,NA,TRUE,2
Akutan,NA,0,1883,NA,0,NA,NA,TRUE,2
Shishaldin,NA,0,1883,NA,0,NA,NA,TRUE,2
Rainier,NA,0,1882,NA,0,NA,NA,FALSE,NA
Mauna Loa,1880-11-05,0,1880,1881-08-10,0,1881,278,TRUE,1
Baker,1880-09-07,0,1880,1880-11-27,0,1880,81,TRUE,2
Mauna Loa,1880-05-01,0,1880,1880-05-06,0,1880,5,TRUE,1
Shishaldin,NA,0,1880,NA,0,1881,NA,FALSE,NA
Vsevidof,NA,0,1880,NA,0,NA,NA,FALSE,NA
Pavlof,NA,0,1880,NA,0,NA,NA,TRUE,1
Mauna Loa,1879-03-09,0,1879,1879-03-09,0,1879,0,TRUE,0
Rainier,NA,0,1879,NA,0,NA,NA,FALSE,NA
Vsevidof,NA,0,1878,NA,0,NA,NA,TRUE,2
Okmok,NA,0,1878,NA,0,NA,NA,TRUE,2
Amukta,NA,0,1878,NA,0,NA,NA,TRUE,NA
Mauna Loa,1877-02-14,0,1877,1877-02-24,0,1877,10,TRUE,0
Mauna Loa,1876-02-13,0,1876,1876-02-14,0,1876,1,TRUE,0
Farallon de Pájaros,1876-01-01,0,1876,1876-01-03,0,1876,2,TRUE,2
Amukta,NA,0,1876,NA,0,NA,NA,FALSE,NA
Iliamna,NA,0,1876,NA,0,NA,NA,TRUE,3
Mauna Loa,1875-08-11,0,1875,1875-08-18,0,1875,7,TRUE,0
Mauna Loa,1875-01-10,0,1875,1875-02-09,0,1875,30,TRUE,0
Veniaminof,1874-07-15,45,1874,NA,0,NA,NA,TRUE,2
Mauna Loa,1873-04-20,0,1873,1874-10-19,0,1874,547,TRUE,1
Mauna Loa,1873-01-06,0,1873,1873-01-07,0,1873,1,TRUE,0
Yunaska,NA,0,1873,NA,0,NA,NA,FALSE,NA
Gareloi,NA,0,1873,NA,0,NA,NA,TRUE,2
Semisopochnoi,NA,0,1873,NA,0,NA,NA,TRUE,NA
Pagan,NA,0,1873,NA,0,NA,NA,TRUE,3
Mauna Loa,1872-08-09,0,1872,1872-09-15,15,1872,37,TRUE,1
Farallon de Pájaros,1872-07-11,0,1872,NA,0,NA,NA,TRUE,2
Mauna Loa,1871-08-10,0,1871,1871-08-30,0,1871,20,TRUE,0
Mauna Loa,1870-01-01,0,1870,1870-01-15,0,1870,14,FALSE,NA
Rainier,NA,0,1870,NA,0,NA,NA,FALSE,NA
Baker,NA,0,1870,NA,0,NA,NA,TRUE,2
Baker,1869-06-15,15,1869,NA,0,NA,NA,FALSE,NA
Hood,NA,0,1869,NA,0,NA,NA,FALSE,NA
Mauna Loa,1868-03-27,0,1868,1868-04-22,0,1868,26,TRUE,2
Baker,1867-03-15,16,1867,NA,0,NA,NA,FALSE,NA
Akutan,NA,0,1867,NA,0,NA,NA,TRUE,NA
Makushin,NA,0,1867,NA,0,NA,NA,FALSE,NA
Iliamna,NA,0,1867,NA,0,NA,NA,TRUE,2
Ofu-Olosega,1866-09-12,0,1866,1866-11-15,5,1866,64,TRUE,2
Pavlof,1866-03-14,0,1866,NA,0,NA,NA,TRUE,2
Mauna Loa,1865-12-30,0,1865,1866-04-29,0,1866,120,TRUE,0
Hood,1865-09-21,0,1865,1866-01-15,16,1866,116,TRUE,2
Makushin,NA,0,1865,NA,0,NA,NA,TRUE,NA
Akutan,NA,0,1865,NA,0,NA,NA,TRUE,NA
Shishaldin,NA,0,1865,NA,0,NA,NA,FALSE,NA
Baker,NA,0,1865,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1864-01-07,0,1864,NA,0,NA,NA,TRUE,2
Alamagan,1864-01-15,16,1864,NA,0,NA,NA,FALSE,NA
Pagan,NA,0,1864,NA,0,NA,NA,TRUE,1
Baker,1863-07-15,16,1863,NA,0,NA,NA,TRUE,2
Akutan,NA,0,1862,NA,0,NA,NA,FALSE,NA
Baker,1860-12-15,16,1860,NA,0,NA,NA,FALSE,NA
Baker,1859-11-15,15,1859,1860-04-26,0,1860,163,TRUE,2
Hood,1859-08-15,0,1859,1859-08-17,0,1859,2,TRUE,2
Mauna Loa,1859-01-23,0,1859,1859-11-25,0,1859,306,TRUE,1
Baker,NA,0,1858,NA,0,NA,NA,TRUE,2
Rainier,NA,0,1858,NA,0,NA,NA,FALSE,NA
St. Helens,1857-04-15,15,1857,NA,0,NA,NA,TRUE,2
Baker,NA,0,1856,NA,0,NA,NA,FALSE,NA
Mauna Loa,1855-08-11,0,1855,1856-11-15,15,1856,462,TRUE,1
Hood,1854-08-15,16,1854,NA,0,NA,NA,FALSE,NA
St. Helens,1854-02-14,14,1854,1854-04-15,15,1854,60,TRUE,2
Baker,NA,0,1854,NA,0,NA,NA,TRUE,2
Rainier,NA,0,1854,NA,0,NA,NA,FALSE,NA
St. Helens,1853-03-15,5,1853,1853-08-15,16,1853,153,TRUE,2
Hood,NA,0,1853,NA,0,NA,NA,FALSE,NA
Baker,1852-12-01,30,1852,1853-01-15,16,1853,45,TRUE,2
Mauna Loa,1852-02-17,0,1852,1852-03-11,0,1852,23,TRUE,2
Akutan,NA,0,1852,NA,0,NA,NA,TRUE,NA
Pavlof,NA,0,1852,NA,0,NA,NA,FALSE,NA
Veniaminof,NA,0,1852,NA,0,NA,NA,FALSE,NA
Ugashik-Peulik,NA,0,1852,NA,0,NA,NA,FALSE,NA
Mauna Loa,1851-08-08,0,1851,1851-08-11,1,1851,3,TRUE,0
Baker,1850-03-15,16,1850,NA,0,NA,NA,FALSE,NA
St. Helens,1850-03-15,16,1850,1850-05-15,16,1850,61,TRUE,2
Mauna Loa,1849-05-15,16,1849,NA,0,NA,NA,TRUE,0
St. Helens,NA,0,1849,NA,0,NA,NA,FALSE,NA
St. Helens,1848-04-01,0,1848,NA,0,NA,NA,TRUE,2
Akutan,1848-03-05,4,1848,NA,0,NA,NA,TRUE,2
St. Helens,1847-03-26,0,1847,1847-03-30,0,1847,4,TRUE,2
Pavlof,1846-08-15,16,1846,1846-08-15,16,1846,0,TRUE,2
Baker,NA,0,1846,NA,0,NA,NA,FALSE,NA
Pavlof,1845-08-12,0,1845,NA,0,NA,NA,TRUE,2
Akutan,NA,0,1845,NA,0,NA,NA,FALSE,NA
Makushin,NA,365.25,1844,NA,0,NA,NA,FALSE,NA
